keys,en,es
Knock Out!,Knock Out!,Knock Out!
New Run,New Run,Nueva partida
Credits,Credits,Creditos
Help,Help,Ayuda
Clear saved data,Clear saved data,Borrar datos
Back to Menu,Back to Menu,Volver al menu
"HELP_TEXT","[color=#F5B700][font_size=40]Goal[/font_size][/color]
Clear each round by reaching the score target before you run out of hands. The target starts at 450 and rises by 250 each round.

[color=#F5B700][font_size=40]Your turn[/font_size][/color]
You get 4 hands and 2 rolls per hand. Tap Roll to reroll unheld dice. Tap a die to hold it — held dice are not rerolled. After both rolls are used, double-tap a die to flip it. Tap Play Hand when ready to score and use one hand. Your rolls refill for the next hand.

[color=#F5B700][font_size=40]Scoring[/font_size][/color]
Final score = (chips + bonuses) × multiplier. Each hand type gives base chips and a multiplier. Dice that form the hand add their face value (1s count as 10). Perks add extra chips or multiplier.

[color=#F5B700][font_size=40]Hands[/font_size][/color]
[color=#3CA3FF]Knockout! (5 alike)[/color]: 48 chips, ×7
[color=#3CA3FF]Four of a Kind[/color]: 24, ×7
[color=#3CA3FF]Full House[/color]: 16, ×4
[color=#3CA3FF]Three of a Kind[/color]: 12, ×3
[color=#3CA3FF]Two Pairs[/color]: 8, ×2
[color=#3CA3FF]Pair[/color]: 4, ×2
[color=#3CA3FF]Straight (1-2-3-4-6)[/color]: 12, ×4
[color=#3CA3FF]Other[/color]: 8, ×3

[color=#F5B700][font_size=40]Perks[/font_size][/color]
After clearing a round, choose one of three perks or skip. Perks stay for the rest of your run.","[color=#F5B700][font_size=40]Objetivo[/font_size][/color]
Supera cada ronda alcanzando la puntuacion objetivo antes de quedarte sin manos. El objetivo empieza en 450 y sube 250 por ronda.

[color=#F5B700][font_size=40]Tu turno[/font_size][/color]
Tienes 4 manos y 2 tiros por mano. Pulsa Tirar para relanzar los dados no retenidos. Pulsa un dado para retenerlo — los retenidos no se relanzan. Tras usar ambos tiros, pulsa dos veces un dado para voltearlo. Pulsa Jugar Mano cuando quieras puntuar y usar una mano. Los tiros se reinician en la siguiente mano.

[color=#F5B700][font_size=40]Puntuacion[/font_size][/color]
Puntuacion final = (fichas + bonificaciones) × multiplicador. Cada tipo de mano da fichas base y un multiplicador. Los dados que forman la mano suman su valor (los 1 valen 10). Las ventajas añaden fichas o multiplicador extra.

[color=#F5B700][font_size=40]Manos[/font_size][/color]
[color=#3CA3FF]Knockout! (5 iguales)[/color]: 48 fichas, ×7
[color=#3CA3FF]4 Iguales[/color]: 24, ×7
[color=#3CA3FF]Full House[/color]: 16, ×4
[color=#3CA3FF]Tres Iguales[/color]: 12, ×3
[color=#3CA3FF]Dos Pares[/color]: 8, ×2
[color=#3CA3FF]Par[/color]: 4, ×2
[color=#3CA3FF]Escala (1-2-3-4-6)[/color]: 12, ×4
[color=#3CA3FF]Otra[/color]: 8, ×3

[color=#F5B700][font_size=40]Ventajas[/font_size][/color]
Tras superar una ronda, elige una de tres ventajas o salta. Las ventajas se mantienen el resto de la partida."
"CREDITS_TEXT","[color=#F5B700][font_size=40]Created By[/font_size][/color]
[color=#3CA3FF]Miguel Rojas[/color]

[color=#F5B700][font_size=40]Designed By[/font_size][/color]
[color=#3CA3FF]Miguel Rojas[/color]

[color=#F5B700][font_size=40]Programmed By[/font_size][/color]
[color=#3CA3FF]Miguel Rojas[/color]

[font_size=52]Brought to you by
Leprosystems[/font_size]","[color=#F5B700][font_size=40]Creado por[/font_size][/color]
[color=#3CA3FF]Miguel Rojas[/color]

[color=#F5B700][font_size=40]Disenado por[/font_size][/color]
[color=#3CA3FF]Miguel Rojas[/color]

[color=#F5B700][font_size=40]Programado por[/font_size][/color]
[color=#3CA3FF]Miguel Rojas[/color]

[font_size=52]Presentado por
Leprosystems[/font_size]"
Continue,Continue,Continuar
Quit Game,Quit Game,Salir del juego
Options,Options,Opciones
Current Perks,Current Perks,Ventajas actuales
Played Hands,Played Hands,Manos jugadas
"Round
Clear!","Round
Clear!","Ronda
superada!"
Choose a Perk:,Choose a Perk:,Elige una ventaja:
(click again to select),(click again to select),(clic de nuevo para elegir)
Or skip to Next Round,Or skip to Next Round,Saltar a la siguiente ronda
"GAME
OVER!","GAME
OVER!","FIN
DEL JUEGO"
NEW RECORD!,NEW RECORD!,¡NUEVO RECORD!
"You reached round %s",You reached round %s,Llegaste a la ronda %s
"Go to
Main Menu","Go to
Main Menu","Ir al
menu principal"
Round,Round,Ronda
Rolls,Rolls,Tiros
Hands,Hands,Manos
Score,Score,Puntos
Roll,Roll,Tirar
Play Hand,Play Hand,Jugar Mano
Saved data cleared,Saved data cleared,Datos borrados
Round %s,Round %s,Ronda %s
"Total
%s","Total
%s","Total
%s"
Hand,Hand,Mano
Played,#,#
Lvl,Lvl,Nvl
Language,Language,Idioma
English,English,English
Español,Español,Español
HAND_KNOCKOUT,Knockout!,¡Knockout!
"HAND_FOUR_OF_A_KIND","4 of
a Kind","4
Iguales"
"HAND_FULL_HOUSE","Full
House","Full
House"
"HAND_THREE_OF_A_KIND","Three of
a Kind","Tres
Iguales"
"HAND_TWO_PAIRS","Two
Pairs","Dos
Pares"
HAND_PAIR,Pair,Par
HAND_STRAIGHT,Straight,Escala
HAND_HIGH_CARD,???,???
PERK_PLUS_NAME,Plus,Plus
PERK_PLUS_DESC,Adds 10 points to the hand played,Suma 10 puntos a la mano jugada
PERK_MULT_NAME,Mult,Mult
PERK_MULT_DESC,Adds 4 mult to the hand played,Suma 4 de mult a la mano jugada
PERK_FIRST_NAME,First,Primera
PERK_FIRST_DESC,First die has 5 extra points,El primer dado tiene 5 puntos extra
PERK_TWO_PAIR_PLUS_NAME,Two Pair Plus,Doble par plus
PERK_TWO_PAIR_PLUS_DESC,Adds 15 points if hand is 2 Pair,Suma 15 puntos si la mano es doble par
PERK_TWO_PAIR_MULT_NAME,Two Pair Mult,Doble par mult
PERK_TWO_PAIR_MULT_DESC,Adds 6 mult if the hand is 2 Pair,Suma 6 de mult si la mano es doble par
PERK_LAST_NAME,Last,Última
PERK_LAST_DESC,Last die has 5 extra points,El último dado tiene 5 puntos extra
PERK_FIRST_MULT_NAME,First Mult,Primera mult
PERK_FIRST_MULT_DESC,Adds 5 mult to the first die,Suma 5 de mult al primer dado
